"uf","nome_estado","anoMedicao","media_nota_saeb","media_taxa_aprovacao"
"AC","Acre",2017,"4.377027027027028","86.40000000000003"
"AC","Acre",2019,"4.59388888888889","85.42763157894737"
"AC","Acre",2021,"4.740909090909091","87.55949367088607"
"AC","Acre",2023,"4.379827586206896","89.14691358024692"
"AL","Alagoas",2017,"3.9592647058823522","84.47414634146335"
"AL","Alagoas",2019,"4.215396039603961","88.19200000000001"
"AL","Alagoas",2021,"4.104701492537313","87.78787878787877"
"AL","Alagoas",2023,"4.19744394618834","94.33103448275858"
"AM","Amazonas",2017,"3.8026751592356702","84.58538681948424"
"AM","Amazonas",2019,"3.9935664335664356","84.06920821114376"
"AM","Amazonas",2021,"3.9606535947712436","91.37599999999995"
"AM","Amazonas",2023,"4.079310344827585","89.55126760563374"
"AP","Amapá",2017,"3.6723529411764706","72.81123595505619"
"AP","Amapá",2019,"3.9203225806451605","77.00731707317074"
"AP","Amapá",2021,NULL,"75.25375000000001"
"AP","Amapá",2023,"4.045","86.17582417582418"
"BA","Bahia",2017,"3.854005524861879","73.76211180124216"
"BA","Bahia",2019,"4.223132530120478","78.73875647668383"
"BA","Bahia",2021,"4.3781081081081075","87.00189075630237"
"BA","Bahia",2023,"4.080432020330369","91.59093851132695"
"CE","Ceará",2017,"4.4415967741935445","88.89530516431911"
"CE","Ceará",2019,"4.737208201892746","92.85190839694665"
"CE","Ceará",2021,"4.6587247278382655","97.77899408284027"
"CE","Ceará",2023,"4.682045454545451","97.02400000000004"
"DF","Distrito Federal",2017,"4.623076923076923","78.76363636363635"
"DF","Distrito Federal",2019,"4.887209302325582","82.79021739130435"
"DF","Distrito Federal",2021,"4.759565217391304","84.15934065934066"
"DF","Distrito Federal",2023,"4.593749999999999","85.64782608695653"
"ES","Espírito Santo",2017,"4.917222222222217","86.2316725978648"
"ES","Espírito Santo",2019,"5.09883408071749","90.11418181818189"
"ES","Espírito Santo",2021,"5.07325301204819","92.16807017543863"
"ES","Espírito Santo",2023,"4.90807407407407","96.13392857142858"
"GO","Goiás",2017,"4.579352818371612","92.93956953642378"
"GO","Goiás",2019,"4.925021186440675","93.30782918149467"
"GO","Goiás",2021,"4.621107078039923","97.17770897832821"
"GO","Goiás",2023,"4.852852459016395","98.53021472392639"
"MA","Maranhão",2017,"3.8109174311926632","86.08975468975466"
"MA","Maranhão",2019,"3.88272430668842","90.78184357541899"
"MA","Maranhão",2021,"3.8837677725118507","88.53562585969736"
"MA","Maranhão",2023,"3.937363945578232","92.00000000000004"
"MG","Minas Gerais",2017,"4.586773927392747","80.6006469500925"
"MG","Minas Gerais",2019,"4.741610978520287","84.58441203281699"
"MG","Minas Gerais",2021,"4.550776439089689","92.13262574988458"
"MG","Minas Gerais",2023,"4.574096165550815","88.1199811053376"
"MS","Mato Grosso do Sul",2017,"4.599999999999998","79.92"
"MS","Mato Grosso do Sul",2019,"4.898720930232558","82.76117216117211"
"MS","Mato Grosso do Sul",2021,"4.596500000000001","84.8764925373134"
"MS","Mato Grosso do Sul",2023,"4.675128205128205","88.38175182481761"
"MT","Mato Grosso",2017,"4.3154368932038825","72.51994219653184"
"MT","Mato Grosso",2019,"4.563486238532111","73.12062146892656"
"MT","Mato Grosso",2021,"4.88076923076923","80.41982758620689"
"MT","Mato Grosso",2023,"4.328817567567568","96.55589743589736"
"PA","Pará",2017,"3.6891578947368417","74.26163636363641"
"PA","Pará",2019,"3.964252873563217","77.42735042735038"
"PA","Pará",2021,"4.221756756756758","71.43339070567984"
"PA","Pará",2023,"4.220129151291513","98.94608695652177"
"PB","Paraíba",2017,"4.047206703910615","78.07910052910054"
"PB","Paraíba",2019,"4.530000000000003","82.49447115384626"
"PB","Paraíba",2021,"4.375930232558138","96.36525821596247"
"PB","Paraíba",2023,"4.4778861788617865","86.25912087912086"
"PE","Pernambuco",2017,"4.434708737864076","92.8287277701779"
"PE","Pernambuco",2019,"4.71606534090909","93.78367071524958"
"PE","Pernambuco",2021,"4.689692532942897","93.89681697612731"
"PE","Pernambuco",2023,"4.706780821917803","95.28306666666671"
"PI","Piauí",2017,"4.084179687500002","81.72967032967023"
"PI","Piauí",2019,"4.312506811989103","83.94728033472803"
"PI","Piauí",2021,"4.292411347517729","93.51855670103082"
"PI","Piauí",2023,"4.387729357798166","96.7494887525562"
"PR","Paraná",2017,"4.564075067024127","80.34802300503227"
"PR","Paraná",2019,"4.846945373467108","88.78777452415808"
"PR","Paraná",2021,"4.7407643884892074","96.12519462137298"
"PR","Paraná",2023,"4.8525863335782535","96.76231369765794"
"RJ","Rio de Janeiro",2017,"4.309373848987104","79.96413145539897"
"RJ","Rio de Janeiro",2019,"4.593934426229513","80.4440740740741"
"RJ","Rio de Janeiro",2021,"4.311523809523808","92.49310670443812"
"RJ","Rio de Janeiro",2023,"4.3023339317773805","82.29498607242347"
"RN","Rio Grande do Norte",2017,"4.3478260869565215","73.29059233449476"
"RN","Rio Grande do Norte",2019,"4.4153012048192775","75.95681063122926"
"RN","Rio Grande do Norte",2021,"4.793333333333334","72.20267558528428"
"RN","Rio Grande do Norte",2023,"4.338170731707318","78.63928571428566"
"RO","Rondônia",2017,"4.409999999999999","86.4192307692308"
"RO","Rondônia",2019,"4.690576923076924","86.99738562091505"
"RO","Rondônia",2021,"4.481860465116279","89.97133757961777"
"RO","Rondônia",2023,"4.404172185430464","92.10778443113773"
"RR","Roraima",2017,"3.8735294117647054","81.00769230769232"
"RR","Roraima",2019,"3.8880952380952385","84.17090909090906"
"RR","Roraima",2021,"4.71","88.34375"
"RR","Roraima",2023,"3.8605263157894734","88.86181818181817"
"RS","Rio Grande do Sul",2017,"4.851072463768118","73.68970276008487"
"RS","Rio Grande do Sul",2019,"5.106623711340208","78.95278622087145"
"RS","Rio Grande do Sul",2021,"5.072162162162161","88.90729927007297"
"RS","Rio Grande do Sul",2023,"4.941901140684413","82.23251473477411"
"SC","Santa Catarina",2017,"4.455655172413794","82.51908127208482"
"SC","Santa Catarina",2019,"4.953881278538813","81.7447214076246"
"SC","Santa Catarina",2021,"5.0134146341463435","80.43462686567169"
"SC","Santa Catarina",2023,"4.7682266009852246","83.58196480938416"
"SE","Sergipe",2017,"4.134415584415585","75.00674846625769"
"SE","Sergipe",2019,"4.272631578947367","79.8582352941176"
"SE","Sergipe",2021,"4.152968749999999","94.44943181818189"
"SE","Sergipe",2023,"4.211708860759493","90.18674033149173"
"SP","São Paulo",2017,"4.6554231227652005","88.24758023433526"
"SP","São Paulo",2019,"4.857359855334534","92.1010269576382"
"SP","São Paulo",2021,"4.77667113194909","94.62814698983574"
"SP","São Paulo",2023,"4.677264457439888","93.66329380764185"
"TO","Tocantins",2017,"4.141111111111111","86.33419913419911"
"TO","Tocantins",2019,"4.326423357664233","89.26652173913043"
"TO","Tocantins",2021,"4.120476190476194","94.9714285714286"
"TO","Tocantins",2023,"4.2186134453781525","95.31983805668013"
